int 	 binary 
654	0111000101000000
655	1111000101000000
656	0000100101000000
657	1000100101000000
658	0100100101000000
659	1100100101000000
660	0010100101000000
661	1010100101000000
662	0110100101000000
663	1110100101000000
664	0001100101000000
665	1001100101000000
666	0101100101000000
667	1101100101000000
668	0011100101000000
669	1011100101000000
670	0111100101000000
671	1111100101000000
672	0000010101000000
673	1000010101000000
674	0100010101000000
675	1100010101000000
676	0010010101000000
677	1010010101000000
678	0110010101000000
679	1110010101000000
680	0001010101000000
681	1001010101000000
682	0101010101000000
683	1101010101000000
684	0011010101000000
685	1011010101000000
686	0111010101000000
687	1111010101000000
688	0000110101000000
689	1000110101000000
690	0100110101000000
691	1100110101000000
692	0010110101000000
693	1010110101000000
694	0110110101000000
695	1110110101000000
696	0001110101000000
697	1001110101000000
698	0101110101000000
699	1101110101000000
700	0011110101000000
701	1011110101000000
702	0111110101000000
703	1111110101000000
704	0000001101000000
705	1000001101000000
706	0100001101000000
707	1100001101000000
708	0010001101000000
709	1010001101000000
710	0110001101000000
711	1110001101000000
712	0001001101000000
713	1001001101000000
714	0101001101000000
715	1101001101000000
716	0011001101000000
717	1011001101000000
718	0111001101000000
719	1111001101000000
720	0000101101000000
721	1000101101000000
722	0100101101000000
723	1100101101000000
724	0010101101000000
725	1010101101000000
726	0110101101000000
727	1110101101000000
728	0001101101000000
729	1001101101000000
730	0101101101000000
731	1101101101000000
732	0011101101000000
733	1011101101000000
734	0111101101000000
735	1111101101000000
736	0000011101000000
737	1000011101000000
738	0100011101000000
739	1100011101000000
740	0010011101000000
741	1010011101000000
742	0110011101000000
743	1110011101000000
744	0001011101000000
745	1001011101000000
746	0101011101000000
747	1101011101000000
748	0011011101000000
749	1011011101000000
750	0111011101000000
751	1111011101000000
752	0000111101000000
753	1000111101000000
754	0100111101000000
755	1100111101000000
756	0010111101000000
757	1010111101000000
758	0110111101000000
759	1110111101000000
760	0001111101000000
761	1001111101000000
762	0101111101000000
763	1101111101000000
764	0011111101000000
765	1011111101000000
766	0111111101000000
767	1111111101000000
768	0000000011000000
769	1000000011000000
770	0100000011000000
771	1100000011000000
772	0010000011000000
773	1010000011000000
774	0110000011000000
775	1110000011000000
776	0001000011000000
777	1001000011000000
778	0101000011000000
779	1101000011000000
780	0011000011000000
781	1011000011000000
782	0111000011000000
783	1111000011000000
784	0000100011000000
785	1000100011000000
786	0100100011000000
787	1100100011000000
788	0010100011000000
789	1010100011000000
790	0110100011000000
791	1110100011000000
792	0001100011000000
793	1001100011000000
794	0101100011000000
795	1101100011000000
796	0011100011000000
797	1011100011000000
798	0111100011000000
799	1111100011000000
800	0000010011000000
801	1000010011000000
802	0100010011000000
803	1100010011000000
804	0010010011000000
805	1010010011000000
806	0110010011000000
807	1110010011000000
808	0001010011000000
809	1001010011000000
810	0101010011000000
811	1101010011000000
812	0011010011000000
813	1011010011000000
814	0111010011000000
815	1111010011000000
816	0000110011000000
817	1000110011000000
818	0100110011000000
819	1100110011000000
820	0010110011000000
821	1010110011000000
822	0110110011000000
823	1110110011000000
824	0001110011000000
825	1001110011000000
826	0101110011000000
827	1101110011000000
828	0011110011000000
829	1011110011000000
830	0111110011000000
831	1111110011000000
832	0000001011000000
833	1000001011000000
834	0100001011000000
835	1100001011000000
836	0010001011000000
837	1010001011000000
838	0110001011000000
839	1110001011000000
840	0001001011000000
841	1001001011000000
842	0101001011000000
843	1101001011000000
844	0011001011000000
845	1011001011000000
846	0111001011000000
847	1111001011000000
848	0000101011000000
849	1000101011000000
850	0100101011000000
851	1100101011000000
852	0010101011000000
853	1010101011000000
854	0110101011000000
855	1110101011000000
856	0001101011000000
857	1001101011000000
858	0101101011000000
859	1101101011000000
860	0011101011000000
861	1011101011000000
862	0111101011000000
863	1111101011000000
864	0000011011000000
865	1000011011000000
866	0100011011000000
867	1100011011000000
868	0010011011000000
869	1010011011000000
870	0110011011000000
871	1110011011000000
872	0001011011000000
873	1001011011000000
874	0101011011000000
875	1101011011000000
876	0011011011000000
877	1011011011000000
878	0111011011000000
879	1111011011000000
880	0000111011000000
881	1000111011000000
882	0100111011000000
883	1100111011000000
884	0010111011000000
885	1010111011000000
886	0110111011000000
887	1110111011000000
888	0001111011000000
889	1001111011000000
890	0101111011000000
891	1101111011000000
892	0011111011000000
893	1011111011000000
894	0111111011000000
895	1111111011000000
896	0000000111000000
897	1000000111000000
898	0100000111000000
899	1100000111000000
900	0010000111000000
901	1010000111000000
902	0110000111000000
903	1110000111000000
904	0001000111000000
905	1001000111000000
906	0101000111000000
907	1101000111000000
908	0011000111000000
909	1011000111000000
910	0111000111000000
911	1111000111000000
912	0000100111000000
913	1000100111000000
914	0100100111000000
915	1100100111000000
916	0010100111000000
917	1010100111000000
918	0110100111000000
919	1110100111000000
920	0001100111000000
921	1001100111000000
922	0101100111000000
923	1101100111000000
924	0011100111000000
925	1011100111000000
926	0111100111000000
927	1111100111000000
928	0000010111000000
929	1000010111000000
930	0100010111000000
931	1100010111000000
932	0010010111000000
933	1010010111000000
934	0110010111000000
935	1110010111000000
936	0001010111000000
937	1001010111000000
938	0101010111000000
939	1101010111000000
940	0011010111000000
941	1011010111000000
942	0111010111000000
943	1111010111000000
944	0000110111000000
945	1000110111000000
946	0100110111000000
947	1100110111000000
948	0010110111000000
949	1010110111000000
950	0110110111000000
951	1110110111000000
952	0001110111000000
953	1001110111000000
954	0101110111000000
955	1101110111000000
956	0011110111000000
957	1011110111000000
958	0111110111000000
959	1111110111000000
960	0000001111000000
961	1000001111000000
962	0100001111000000
963	1100001111000000
964	0010001111000000
965	1010001111000000
966	0110001111000000
967	1110001111000000
968	0001001111000000
969	1001001111000000
